HCC Code,Variable Label,Count,Estimate,Estimate,Estimate,Estimate,Estimate,
HCC129,Heart Transplant,211,25.734,25.262,25.057,25.189,25.225,G14
HCC130,Congestive Heart Failure,"2,379",6.292,6.159,6.073,6.013,5.992,
HCC131,Acute Myocardial Infarction,38,4.568,4.453,4.410,4.433,4.448,H4
HCC132,Unstable Angina and Other Acute Ischemic Heart Disease,80,4.568,4.453,4.410,4.433,4.448,H4
HCC135,"Heart Infection/In-flammation, Except Rheumatic",774,12.842,12.655,12.573,12.590,12.597,
HCC137,Hypoplastic Left Heart Syndrome and Other Severe Congenital Heart Disorders,887,7.019,6.823,6.668,6.528,6.480,
HCC138,Major Congenital Heart/Circulatory Disorders,"11,217",2.257,2.143,2.018,1.870,1.828,
HCC139,"Atrial and Ventricular Septal Defects, Patent Ductus Arteriosus, and Other Congenital Heart/Circulatory Disorders","9,017",1.411,1.319,1.206,1.078,1.047,
HCC142,Specified Heart Arrhythmias,"3,356",4.483,4.276,4.141,4.052,4.026,
HCC145,Intracranial Hemorrhage,586,21.057,20.757,20.616,20.617,20.618,
HCC146,Ischemic or Unspecified Stroke,321,8.498,8.373,8.324,8.360,8.363,
HCC149,Cerebral Aneurysm and Arteriovenous Malformation,321,4.704,4.464,4.344,4.280,4.250,
HCC150,Hemiplegia/Hemi-paresis,"1,228",5.561,5.404,5.334,5.315,5.310,H5
HCC151,"Monoplegia, Other Paralytic Syndromes",292,5.561,5.404,5.334,5.315,5.310,H5
HCC153,Atherosclerosis of the Extremities with Ulceration or Gangrene,111,10.174,9.937,9.799,9.688,9.641,H6
HCC154,Vascular Disease with Complications,305,11.571,11.355,11.257,11.260,11.272,
HCC156,Pulmonary Embolism and Deep Vein Thrombosis,768,13.894,13.661,13.557,13.591,13.604,
HCC158,Lung Transplant Status/Complications,29,100.413,100.393,100.412,100.660,100.749,
HCC159,Cystic Fibrosis,"1,306",13.530,13.006,12.743,12.739,12.742,
HCC160,"Chronic Obstructive Pulmonary Disease, Including Bronchiectasis","2,679",0.521,0.458,0.354,0.215,0.175,G15
HCC161,Asthma,"260,435",0.521,0.458,0.354,0.215,0.175,G15
HCC162,Fibrosis of Lung and Other Lung Disorders,"1,385",5.812,5.657,5.555,5.472,5.450,
HCC163,Aspiration and Specified Bacterial Pneumonias and Other Severe Lung Infections,"2,057",10.730,10.615,10.549,10.566,10.571,
HCC183,Kidney Transplant Status,353,18.933,18.476,18.264,18.279,18.289,S1
HCC184,End Stage Renal Disease,142,43.158,42.816,42.659,42.775,42.808,
HCC187,"Chronic Kidney Disease, Stage 5",59,11.754,11.581,11.472,11.374,11.340,G16
HCC188,"Chronic Kidney Disease, Severe (Stage 4)",90,11.754,11.581,11.472,11.374,11.340,G16
HCC203,"Ectopic and Molar Pregnancy, Except with Renal Failure, Shock, or Embolism",308,1.191,1.042,0.917,0.674,0.590,G17
HCC204,Miscarriage with Complications,110,1.191,1.042,0.917,0.674,0.590,G17
HCC205,Miscarriage with No or Minor Complications,"1,477",1.191,1.042,0.917,0.674,0.590,G17
HCC207,Completed Pregnancy With Major Complications,308,3.419,2.956,2.778,2.498,2.437,G18
HCC208,Completed Pregnancy With Complications,"2,854",3.419,2.956,2.778,2.498,2.437,G18
HCC209,Completed Pregnancy with No or Minor Complications,"5,174",3.419,2.956,2.778,2.498,2.437,G18
HCC217,"Chronic Ulcer of Skin, Except Pressure","1,554",1.570,1.479,1.394,1.314,1.289,
HCC226,Hip Fractures and Pathological Vertebral or Humerus Fractures,297,7.389,7.174,7.022,6.882,6.842,
HCC227,"Pathological Fractures, Except of Vertebrae, Hip, or Humerus",674,2.353,2.244,2.128,1.965,1.912,
HCC242,"Extremely Immature Newborns, Birthweight < 500 Grams",N/A,N/A,N/A,N/A,N/A,N/A,
HCC243,"Extremely Immature Newborns, Including Birthweight 500–749 Grams",N/A,N/A,N/A,N/A,N/A,N/A,
HCC244,"Extremely Immature Newborns, Including Birthweight 750–999 Grams",N/A,N/A,N/A,N/A,N/A,N/A,
HCC245,"Premature Newborns, Including Birthweight 1000–1499 Grams",N/A,N/A,N/A,N/A,N/A,N/A,
HCC246,"Premature Newborns, Including Birthweight 1500–1999 Grams",N/A,N/A,N/A,N/A,N/A,N/A,
HCC247,"Premature Newborns, Including Birthweight 2000–2499 Grams",N/A,N/A,N/A,N/A,N/A,N/A,
HCC248,"Other Premature, Low Birthweight, Malnourished, or Multiple Birth Newborns",N/A,N/A,N/A,N/A,N/A,N/A,
HCC249,"Term or Post-Term Singleton Newborn, Normal or High Birthweight",N/A,N/A,N/A,N/A,N/A,N/A,
HCC251,"Stem Cell, Including Bone Marrow, Transplant Status/Complications",324,30.558,30.485,30.466,30.522,30.538,
HCC253,Artificial Openings for Feeding or Elimination,"2,006",14.410,14.247,14.197,14.340,14.383,
HCC254,"Amputation Status, Lower Limb/Amputation Complications",95,10.174,9.937,9.799,9.688,9.641,H6
